GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
scaffold,edu.ucsb.cs.scaffold.controller,AdminsController,0,82,0,2,0,16,0,8,0,7
scaffold,edu.ucsb.cs.scaffold.controller,UserStateController.UserStateResponse,0,15,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,LegacyAssessmentController,0,9,0,0,0,2,0,2,0,2
scaffold,edu.ucsb.cs.scaffold.controller,LegacyUserActivityController,0,58,0,8,0,12,0,6,0,2
scaffold,edu.ucsb.cs.scaffold.controller,LegacyUserActivityController.LegacyUserActivityRequest,0,12,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,ConceptsController.SubconceptDTO,0,12,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,PLQuestionController,0,30,0,0,0,8,0,5,0,5
scaffold,edu.ucsb.cs.scaffold.controller,AssessmentController.AssessmentManagementDTO,0,12,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,ConceptsController.StoredPosition,0,9,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,PatCredentialController,0,159,0,8,0,36,0,16,0,12
scaffold,edu.ucsb.cs.scaffold.controller,CoursesController,0,1101,0,68,0,277,0,76,0,42
scaffold,edu.ucsb.cs.scaffold.controller,ApiController,0,50,0,0,0,14,0,8,0,8
scaffold,edu.ucsb.cs.scaffold.controller,ConceptsController,0,1885,0,110,0,425,0,121,0,66
scaffold,edu.ucsb.cs.scaffold.controller,CourseStaffController,0,129,0,0,0,33,0,10,0,10
scaffold,edu.ucsb.cs.scaffold.controller,PLScaffoldAssessmentController,0,35,0,0,0,7,0,4,0,4
scaffold,edu.ucsb.cs.scaffold.controller,PLRepoController,0,117,0,6,0,27,0,10,0,7
scaffold,edu.ucsb.cs.scaffold.controller,LegacyUserStateController,0,134,0,8,0,30,0,11,0,7
scaffold,edu.ucsb.cs.scaffold.controller,PrairieLearnController,0,48,0,0,0,10,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,JobsController,0,92,0,0,0,24,0,8,0,8
scaffold,edu.ucsb.cs.scaffold.controller,UserStateController.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,CoursesController.InstructorCourseView,0,75,0,4,0,12,0,4,0,2
scaffold,edu.ucsb.cs.scaffold.controller,ConceptsController.MajorConceptDTO,0,15,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,ConceptsController.LevelAssignmentDTO,0,21,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,PLAssessmentController,0,13,0,0,0,3,0,3,0,3
scaffold,edu.ucsb.cs.scaffold.controller,PLInstanceController,0,34,0,0,0,9,0,6,0,6
scaffold,edu.ucsb.cs.scaffold.controller,LegacyQuestionController,0,5,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,CoursesController.EmailFormats,0,15,0,0,0,3,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,SystemInfoController,0,10,0,0,0,3,0,3,0,3
scaffold,edu.ucsb.cs.scaffold.controller,ConceptsController.PositionDTO,0,9,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,RosterStudentsController,0,390,0,34,0,94,0,34,0,17
scaffold,edu.ucsb.cs.scaffold.controller,UserStateController.UserStateRequest,0,21,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,ConceptsController.TopLevelConceptDTO,0,18,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,ConceptsController.RemovedEdgeDTO,0,12,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,ConceptsController.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,UserActivityController.UserActivityRequest,0,15,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,HealthController,0,7,0,0,0,2,0,2,0,2
scaffold,edu.ucsb.cs.scaffold.controller,AssessmentController.AssessmentDTO,0,12,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,RosterStudentsCSVController.RosterSourceType,0,33,0,0,0,6,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,ConceptsController.ScaffoldResetResponseDTO,0,12,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,LegacyUserStateController.LegacyUserStateResponse,0,12,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,CoursesController.RosterStudentCoursesDTO,0,18,0,0,0,1,0,1,0,1
scaffold,edu.ucsb.cs.scaffold.controller,AdminsController.AdminDTO,0,18,0,0,0,3,0,2,0,2
scaffold,edu.ucsb.cs.scaffold.controller,ConceptsController.SubConceptTableRowDTO,0,30,0,0,0,1,0,1,0,1
